Ano.Mes,Ano.Semana,Date,peixeVivo,unidadePeixes,biometria,mortalidade%,BemEstarAnimal,RendPotencial,rendOperacional,eficPotencial,rendimentoPac,rendPacEQM,EficienciaPotEQM,eficienciaResfriado,Média de Unidade Hora Homem,uniHH_Industrial,Média de Kgs Hora Homem,KGHH_Industrial,EficiSkinner,couroSkinner,unidadeHora,KgHora,GW_Pac,GW_PXV,rendimentoMRN,totalPacResfriado,totalPac
2026.01,2026.02,2026-01-05 00:00:00,"16011,06",13752,"1,164","0,36%",NaN,"45,31%",,,"32,51%","18,71%","41,29%","93,08%",,,,,"-16,91%",,57,70,"-100,47%","-30,40%",,4845,"5205,00"
2026.01,2026.02,2026-01-06 00:00:00,"16744,09",13927,"1,202","0,24%",NaN,"45,29%",,,"31,86%","22,19%","48,98%","93,16%",,,,,"-5,45%",,63,81,"-100,57%","-29,85%",,4970,"5335,00"
2026.01,2026.02,2026-01-07 00:00:00,"16639,01",15742,"1,057","0,56%",NaN,"45,23%",,,"31,56%","20,27%","44,80%","94,65%",,,,,"-4,76%",,67,75,"-100,29%","-29,96%",,4970,"5251,00"
2026.01,2026.02,2026-01-08 00:00:00,"16624,43",14086,"1,180","0,07%",NaN,"45,17%",,,"31,64%","19,85%","43,95%","92,97%",,,,,"-7,33%",,67,82,"-100,45%","-29,55%",,4890,"5260,00"
2026.01,2026.02,2026-01-09 00:00:00,"16678,73",12505,"1,334","0,00%",NaN,"45,48%",,,"31,94%","19,16%","42,12%","98,59%",,,,,"-12,27%",,63,89,"-100,23%","-31,56%",,5252,"5327,00"
2026.01,2026.03,2026-01-12 00:00:00,"16636,50",14228,"1,169","0,25%",NaN,"45,30%",,,"32,01%","19,45%","42,92%","97,37%",,,,,,,62,76,"-100,19%","-31,23%",,5185,"5325,00"
2026.01,2026.03,2026-01-13 00:00:00,"16734,04",13438,"1,245","0,64%",NaN,"45,70%",,,"31,43%","24,86%","54,39%","96,96%",,,,,"-30,52%",,67,89,"-100,00%","-30,48%",,5100,"5260,00"
2026.01,2026.03,2026-01-14 00:00:00,"16849,67",13122,"1,284","0,34%",NaN,"45,79%",,,"32,22%","18,04%","39,38%","95,30%",,,,,"-10,49%",,71,95,"-100,42%","-30,83%",,5174,"5429,00"
2026.01,2026.03,2026-01-15 00:00:00,"17152,84",15494,"1,107","0,36%",NaN,"44,93%",,,"31,28%","22,27%","49,56%","95,25%",,,,,"-11,66%",,69,80,"-100,85%","-30,05%",,5110,"5365,00"
2026.01,2026.03,2026-01-16 00:00:00,"16850,18",12896,"1,307","0,30%",NaN,"45,55%",,,"33,00%","13,29%","29,19%","93,98%",,,,,"-6,52%",,67,93,"-100,75%","-31,25%",,5226,"5561,00"
2026.01,2026.04,2026-01-19 00:00:00,"16143,79",13424,"1,203","1,59%",NaN,"45,01%",,,"32,24%","20,63%","45,83%","94,72%",,,,,"-18,52%",,62,78,"-100,45%","-30,68%",,4930,"5205,00"
2026.01,2026.04,2026-01-20 00:00:00,"16819,00",13539,"1,242","0,24%",NaN,"45,47%",,,"32,46%","17,54%","38,58%","95,51%",,,,,"-9,89%",,69,92,"-100,29%","-31,10%",,5215,"5460,00"
2026.01,2026.04,2026-01-21 00:00:00,"15515,84",15015,"1,033","0,16%",NaN,"44,83%",,,"31,59%","26,98%","60,18%","96,49%",,,,,"-18,64%",,74,81,"-100,45%","-30,62%",,4729,"4901,00"
2026.01,2026.04,2026-01-22 00:00:00,"16058,82",14386,"1,116","0,00%",NaN,"45,30%",,,"32,35%","17,25%","38,07%","96,63%",,,,,"-15,99%",,75,89,"-100,52%","-31,42%",,5020,"5195,00"
2026.01,2026.04,2026-01-23 00:00:00,"17118,15",14736,"1,162","0,00%",NaN,"45,24%",,,"32,15%","20,93%","46,27%","96,46%",,,,,"-78,27%",,76,93,"-100,46%","-31,16%",,5309,"5504,00"
2026.01,2026.05,2026-01-26 00:00:00,"16704,88",14211,"1,175","0,00%",NaN,"45,45%",,,"32,43%","18,70%","41,13%","93,63%",,,,,"-5,91%",,73,91,"-100,30%","-30,46%",,5073,"5418,00"
2026.01,2026.05,2026-01-27 00:00:00,"16913,02",13533,"1,250","0,00%",NaN,"45,55%",,,"32,73%","17,94%","39,39%","96,57%",,,,,"-31,14%",,78,103,"-100,59%","-31,79%",,5345,"5535,00"
2026.01,2026.05,2026-01-28 00:00:00,"16796,88",15686,"1,071","0,27%",NaN,"45,22%",,,"32,07%","15,49%","34,24%","93,69%",,,,,"-5,31%",,82,91,"-100,62%","-30,23%",,5046,"5386,00"
2026.01,2026.05,2026-01-29 00:00:00,"16561,59",15419,"1,074","0,33%",NaN,"44,94%",,,"32,48%","16,73%","37,21%","92,01%",,,,,"-5,57%",,72,82,"-100,43%","-30,02%",,4950,"5380,00"
2026.01,2026.05,2026-01-30 00:00:00,"17167,42",16286,"1,054","0,36%",NaN,"45,04%",,,"32,01%","21,67%","48,11%","95,18%",,,,,"-12,19%",,78,87,"-100,30%","-31,55%",,5231,"5496,00"
2026.01,2026.05,2026-01-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,"0,00"
2026.02,2026.06,2026-02-02 00:00:00,"16914,53",14980,"1,129","0,00%","99,71%","45,10%","44,27%","98,16%","32,61%","31,42%","69,68%","95,38%",,,,,"88,88%","4,59%",81,98,"7,87%","2,45%","89,03%",5260,"5515,00"
2026.02,2026.06,2026-02-03 00:00:00,"16120,16",15362,"1,049","0,31%","99,61%","45,21%","44,29%","97,97%","32,54%","32,00%","70,79%","94,95%",,,,,"89,28%","4,44%",83,93,"7,63%","2,36%","88,76%",4980,"5245,00"
2026.02,2026.06,2026-02-04 00:00:00,"14387,13",13657,"1,053","0,88%","98,95%","44,83%","43,86%","97,84%","31,64%","29,80%","66,47%","94,18%",,,,,"88,92%","4,54%",74,88,"8,06%","2,40%","88,97%",4287,"4552,00"
2026.02,2026.06,2026-02-05 00:00:00,"15491,20",13812,"1,122","1,18%","97,67%","45,27%","44,13%","97,49%","32,70%","31,66%","69,94%","92,40%",,,,,"88,68%","4,66%",79,94,"8,26%","2,49%","89,13%",4680,"5065,00"
2026.02,2026.06,2026-02-06 00:00:00,"17523,88",15144,"1,157","0,42%","99,00%","45,36%","44,09%","97,20%","32,61%","31,52%","69,49%","91,86%",,,,,"88,52%","4,72%",77,93,"9,94%","2,98%","89,43%",5249,"5714,00"
2026.02,2026.07,2026-02-09 00:00:00,"15126,19",13866,"1,091","1,14%","98,21%","45,36%","44,37%","97,83%","32,94%","31,87%","70,27%","94,83%",,,,,"89,15%","4,48%",71,83,"7,67%","2,44%","89,05%",4725,"4982,44"
2026.02,2026.07,2026-02-10 00:00:00,"17921,57",15947,"1,124","0,21%","99,37%","45,23%","44,11%","97,53%","32,49%","31,78%","70,27%","93,44%",,,,,"88,97%","4,54%",71,85,"8,65%","2,62%","89,44%",5440,"5822,06"
2026.02,2026.07,2026-02-11 00:00:00,"16805,43",15015,"1,119","0,36%","99,06%","45,65%","44,41%","97,29%","33,11%","32,19%","70,52%","95,01%",,,,,"88,55%","4,75%",75,89,"5,75%","1,81%","89,48%",5287,"5564,96"
2026.02,2026.07,2026-02-12 00:00:00,"16918,05",16578,"1,020","0,28%","98,54%","44,92%","43,85%","97,63%","32,43%","31,66%","70,48%","92,87%",,,,,"89,89%","4,11%",80,85,"7,86%","2,36%","89,09%",5095,"5485,88"
2026.02,2026.07,2026-02-13 00:00:00,"17375,57",17643,"0,985","0,52%","98,92%","44,91%","43,83%","97,61%","33,04%","32,00%","71,27%","95,20%",,,,,"87,95%","4,93%",74,77,"5,52%","1,74%","90,32%",5466,"5741,67"
2026.02,2026.08,2026-02-16 00:00:00,"17815,99",15163,"1,175","0,24%","99,32%","46,15%","45,06%","97,64%","32,80%","31,79%","68,89%","91,98%",,,,,"89,00%","4,63%",67,84,"10,87%","3,28%","88,65%",5375,"5843,91"
2026.02,2026.08,2026-02-17 00:00:00,"16428,36",16748,"0,981","0,57%","98,02%","44,64%","43,71%","97,92%","31,74%","30,89%","69,19%","90,80%",,,,,"88,69%","4,60%",75,78,"9,86%","2,84%","89,07%",4735,"5215,00"
2026.02,2026.08,2026-02-18 00:00:00,"16655,61",16318,"1,021","0,97%","97,75%","45,70%","44,54%","97,47%","32,99%","31,61%","69,18%","89,99%",,,,,"87,10%","5,36%",78,85,"8,88%","2,63%","88,88%",4944,"5494,00"
2026.02,2026.08,2026-02-19 00:00:00,"16490,70",17301,"0,953","1,39%","96,85%","45,66%","44,29%","96,99%","33,08%","32,29%","70,70%","89,09%",,,,,"88,52%","4,75%",72,73,"8,26%","2,43%","89,04%",4860,"5455,00"
2026.02,2026.08,2026-02-20 00:00:00,"16680,74",16833,"0,991","0,66%","98,28%","45,29%","44,21%","97,62%","31,62%","30,55%","67,45%","92,89%",,,,,"89,20%","4,46%",71,73,"9,34%","2,74%","89,26%",4900,"5275,00"
2026.02,2026.09,2026-02-23 00:00:00,"16483,66",14810,"1,113","0,29%","99,21%","45,34%","44,05%","97,16%","32,21%","31,26%","68,94%","94,82%",,,,,"88,45%","4,75%",64,75,"7,03%","2,14%","89,44%",5035,"5310,00"
2026.02,2026.09,2026-02-24 00:00:00,"16569,13",15166,"1,093","0,42%","98,75%","45,20%","43,89%","97,10%","31,48%","30,81%","68,15%","92,98%",,,,,"89,00%","4,50%",70,81,"7,45%","2,18%","89,17%",4850,"5216,20"
2026.02,2026.09,2026-02-25 00:00:00,"16206,64",14897,"1,088","0,57%","98,64%","45,07%","43,90%","97,41%","32,11%","30,89%","68,53%","94,11%",,,,,"89,15%","4,45%",66,75,"7,42%","2,29%","89,29%",4897,"5203,45"
2026.02,2026.09,2026-02-26 00:00:00,"16665,66",16043,"1,039","0,11%","95,24%","45,15%","44,08%","97,63%","32,03%","31,30%","69,32%","93,28%",,,,,"89,17%","4,47%",68,75,"3,08%","0,92%","89,08%",4980,"5338,83"
2026.02,2026.09,2026-02-27 00:00:00,"16748,11",16824,"0,995","0,19%","96,17%","45,33%","44,20%","97,50%","33,01%","31,65%","69,82%","94,64%",,,,,"89,26%","4,44%",75,80,"3,44%","1,07%","89,25%",5233,"5529,39"
2026.03,2026.10,2026-03-02 00:00:00,"14447,46",15745,"0,918","0,00%","95,23%","45,32%","44,21%","97,56%","32,72%","31,65%","69,83%","93,39%",,,,,"88,73%","4,66%",70,68,"3,04%","0,95%","89,49%",4415,"4727,51"
2026.03,2026.10,2026-03-03 00:00:00,"14014,08",14426,"0,971","0,00%","97,40%","45,13%","44,11%","97,74%","32,75%","32,20%","71,35%","93,46%",,,,,"89,74%","4,23%",70,72,"2,79%","0,85%","89,37%",4290,"4590,00"
2026.03,2026.10,2026-03-04 00:00:00,"13768,73",13044,"1,056","0,00%","97,32%","44,76%","43,82%","97,90%","32,44%","31,28%","69,88%","94,77%",,,,,"89,84%","4,16%",74,83,"4,21%","1,29%","88,94%",4233,"4466,44"
2026.03,2026.10,2026-03-05 00:00:00,"13869,28",15251,"0,909","0,00%","97,70%","44,25%","43,29%","97,83%","32,06%","31,39%","70,95%","93,00%",,,,,"90,04%","4,02%",75,72,"4,62%","1,38%","89,05%",4135,"4446,41"
2026.03,2026.10,2026-03-06 00:00:00,"14920,06",15300,"0,975","0,00%","98,48%","44,74%","43,77%","97,84%","33,17%","32,04%","71,61%","96,10%",,,,,"89,54%","4,28%",85,89,"2,39%","0,76%","88,92%",4756,"4948,99"
2026.03,2026.11,2026-03-09 00:00:00,"14397,18",13243,"1,087","0,00%","97,84%","45,58%","44,61%","97,89%","33,06%","32,08%","70,38%","95,06%",,,,,"88,93%","4,62%",74,86,"2,67%","0,84%","89,13%",4525,"4760,00"
2026.03,2026.11,2026-03-10 00:00:00,"14287,58",16117,"0,886","0,00%","96,23%","44,75%","43,72%","97,69%","32,01%","31,32%","69,98%","93,24%",,,,,"89,15%","4,43%",81,77,"3,86%","1,15%","89,35%",4265,"4574,12"
2026.03,2026.11,2026-03-11 00:00:00,"15268,98",15808,"0,966","0,00%","95,43%","44,83%","44,03%","98,22%","32,55%","31,88%","71,12%","93,16%",,,,,"90,15%","4,05%",72,74,"4,13%","1,25%","89,44%",4630,"4970,00"
2026.03,2026.11,2026-03-12 00:00:00,"14480,64",15209,"0,952","0,00%","92,20%","44,74%","43,99%","98,33%","32,72%","31,95%","71,41%","90,11%",,,,,"89,56%","4,29%",78,79,"3,22%","0,95%","89,26%",4270,"4738,74"
2026.03,2026.11,2026-03-13 00:00:00,"14987,43",15092,"0,993","0,00%","95,99%","45,10%","43,96%","97,48%","32,70%","31,57%","70,00%","93,37%",,,,,"89,19%","4,45%",79,83,"3,22%","1,01%","88,97%",4576,"4901,00"
2026.03,2026.12,2026-03-16 00:00:00,"14021,12",13935,"1,006","0,00%","96,09%","44,81%","43,71%","97,54%","32,59%","31,64%","70,61%","93,98%",,,,,"89,71%","4,20%",74,77,"3,13%","0,96%","89,42%",4295,"4570,00"
2026.03,2026.12,2026-03-17 00:00:00,"13896,43",14472,"0,960","0,00%","91,57%","44,80%","43,90%","98,00%","32,33%","31,61%","70,58%","92,27%",,,,,"89,79%","4,16%",84,86,"3,81%","1,14%","89,58%",4145,"4492,30"
2026.03,2026.12,2026-03-18 00:00:00,"12805,43",12918,"0,991","0,27%","96,66%","44,84%","43,99%","98,11%","33,12%","32,38%","72,20%","94,00%",,,,,"89,23%","4,42%",78,83,"1,76%","0,55%","89,52%",3986,"4240,52"
2026.03,2026.12,2026-03-19 00:00:00,"14570,14",16157,"0,902","0,66%","94,03%","44,97%","44,00%","97,84%","32,59%","31,82%","70,75%","92,25%",,,,,"89,82%","4,18%",80,77,"1,81%","0,54%","89,11%",4380,"4747,99"
2026.03,2026.12,2026-03-20 00:00:00,"15469,08",14919,"1,037","0,00%","97,27%","44,71%","43,88%","98,14%","32,81%","31,82%","71,17%","95,86%",,,,,"88,95%","4,53%",74,82,"1,65%","0,52%","89,61%",4866,"5076,00"
2026.03,2026.13,2026-03-23 00:00:00,"14904,98",14745,"1,011","0,42%","95,02%","45,04%","44,10%","97,92%","32,69%","31,87%","70,76%","94,93%",,,,,"89,50%","4,32%",74,79,"1,52%","0,47%","89,85%",4625,"4872,21"
2026.03,2026.13,2026-03-24 00:00:00,"14953,24",13877,"1,078","0,80%","93,61%","45,14%","44,20%","97,92%","32,90%","32,16%","71,25%","95,23%",,,,,"89,06%","4,51%",71,82,"1,64%","0,51%","88,88%",4685,"4919,60"
